text;target_emotion
saya tidak merasa terhina;sedih
saya bisa berubah dari merasa sangat putus asa menjadi sangat berharap hanya dari berada di sekitar seseorang yang peduli dan terjaga;sedih
saya mengambil waktu sebentar untuk memposting saya merasa serakah salah;marah
saya pernah merasa nostalgia tentang perapian saya akan tahu bahwa itu masih di properti;cinta
saya merasa kesal;marah
Saya merasa sedikit terbebani akhir-akhir ini tidak yakin mengapa itu;sedih
Saya telah mengonsumsi atau miligram atau kali jumlah yang disarankan dan saya tertidur jauh lebih cepat tetapi saya juga merasa sangat lucu;kaget
saya merasa sama bingungnya dengan kehidupan sebagai remaja atau sama letihnya dengan pria berusia satu tahun;takut
saya telah dengan petronas selama bertahun-tahun saya merasa bahwa petronas telah bekerja dengan baik dan membuat keuntungan besar;sedih
aku juga merasa romantis;cinta
Saya merasa seperti saya harus membuat penderitaan yang saya lihat berarti sesuatu;sedih
saya merasa bahwa berlari adalah pengalaman ilahi dan saya dapat mengharapkan untuk memiliki beberapa jenis pertemuan spiritual;gembira
Saya pikir ini waktu yang paling mudah dalam setahun untuk merasa tidak puas;marah
saya merasa energi saya rendah saya hanya haus;sedih
Saya sangat bersimpati dengan poin umum tetapi sebagai penulis proto yang mungkin mencoba mencari waktu untuk menulis di sudut-sudut kehidupan dan tanpa tanda-tanda agen apalagi kontrak penerbitan, ini terasa sedikit berharga;gembira
saya tidak merasa diyakinkan kecemasan ada di setiap sisi;gembira
saya tidak benar-benar merasa malu;sedih
saya merasa sangat menyedihkan sebagian besar waktu;sedih
saya mulai merasa sentimental tentang boneka yang saya miliki sebagai seorang anak dan mulai koleksi boneka barbie vintage dari tahun enam puluhan;sedih
sekarang saya merasa dikompromikan dan skeptis terhadap nilai setiap unit pekerjaan yang saya lakukan;takut
saya merasa kesal dan ditolak tanpa ada yang melakukan apa-apa atau mengatakan apa-apa;marah
saya merasa benar-benar kewalahan Saya memiliki dua strategi yang membantu saya merasa membumi mencurahkan isi hati saya dalam jurnal saya dalam bentuk surat kepada tuhan dan kemudian diakhiri dengan daftar lima hal yang paling saya syukuri;takut
saya merasa dia geli dan senang;gembira
saya dapat membantu chai lifeline dengan dukungan dan dorongan Anda adalah perasaan yang luar biasa dan saya sangat senang Anda dapat membantu saya;sedih
saya sudah merasa seperti saya kacau karena saya biasanya tidak makan sama sekali di pagi hari;marah
